timestamp,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1727705043.7252414,0.05942186519263188,-0.0825324227600557,0.0,0.0,0.0,-0.5991184266842268,0.8006604216566576,0.25247323519153425,0.0,0.0,0.0,0.0,-0.6710595198080274
1727705043.7715337,0.06356782632233555,-0.09747399958682743,0.0,0.0,0.0,-0.61130637094555,0.7913940363948807,0.2915980043934291,0.0,0.0,0.0,0.0,-0.6360006086594864
1727705044.038997,0.06660753073310992,-0.10982269054114784,0.0,0.0,0.0,-0.623148771920495,0.7821033231319113,0.28224513550289443,0.0,0.0,0.0,0.0,-0.607254220153099
1727705044.0866833,0.06832242046295019,-0.11780018217747515,0.0,0.0,0.0,-0.6339884109186641,0.7733425468838677,0.2087779147324917,0.0,0.0,0.0,0.0,-0.5797896390523452
1727705044.1417863,0.06918019437291578,-0.1223290532101237,0.0,0.0,0.0,-0.6435026136393368,0.7654439144962499,0.12769498730652334,0.0,0.0,0.0,0.0,-0.5260626032927513
1727705044.1922004,0.06927328421479122,-0.12287705830953256,0.0,0.0,0.0,-0.6522932437219839,0.7579667038825997,0.05165355528556265,0.0,0.0,0.0,0.0,-0.47812578685632856
1727705044.4133556,0.06928212722759922,-0.12293943599528022,0.0,0.0,0.0,-0.6591387677763664,0.7520213326856183,0.006188598356339919,0.0,0.0,0.0,0.0,-0.4121504808528333
1727705044.4615846,0.06928212721477964,-0.12293943588800924,0.0,0.0,0.0,-0.6650987837299647,0.7467553869112172,0.0006300149417526324,0.0,0.0,0.0,0.0,-0.3404012197722139
1727705044.5171587,0.06928212719430338,-0.1229394356984286,0.0,0.0,0.0,-0.6710167271562942,0.7414422107463637,-2.9871882745169387e-09,0.0,0.0,0.0,0.0,-0.3181251794233381
1727705044.5689256,0.06928203470955642,-0.12293846661761047,0.0,0.0,0.0,-0.6759558256632029,0.7369421427439047,-9.736749453648219e-06,0.0,0.0,0.0,0.0,-0.2926970743402832
1727705044.771643,0.06928179512165941,-0.12293549477762744,0.0,0.0,0.0,-0.6792561876232769,0.7339012410232673,-3.954968867070363e-05,0.0,0.0,0.0,0.0,-0.2233886569689496
1727705044.8342712,0.06928179511872457,-0.12293549473823824,0.0,0.0,0.0,-0.6816871039999398,0.7316438288130197,-2.9815241053832153e-05,0.0,0.0,0.0,0.0,-0.15610251907406997
1727705045.0908198,0.06940649500884168,-0.12481366710394058,0.0,0.0,0.0,-0.6839581579968127,0.7295212389708795,0.01882309021748546,0.0,0.0,0.0,0.0,-0.12851939225747494
1727705045.1308231,0.06978915513481675,-0.13104387267486953,0.0,0.0,0.0,-0.6859598464962997,0.7276393948892358,0.08124262612940636,0.0,0.0,0.0,0.0,-0.11711860225374067
1727705045.2136822,0.07037078396852504,-0.1413500060863991,0.0,0.0,0.0,-0.6876770449758242,0.7260167228193289,0.16564495522636613,0.0,0.0,0.0,0.0,-0.10219943373224698
1727705045.26738,0.07098590692264393,-0.1530824914207029,0.0,0.0,0.0,-0.6889549257565198,0.724804187540213,0.22071147129290675,0.0,0.0,0.0,0.0,-0.08248375499591748
1727705045.480103,0.07165743448283549,-0.16677554396986116,0.0,0.0,0.0,-0.690104718216509,0.7237095259116828,0.2545811984713965,0.0,0.0,0.0,0.0,-0.06698287965991766
1727705045.529042,0.07245061141254537,-0.18382990012606723,0.0,0.0,0.0,-0.6907878277322658,0.7230575198813284,0.30782308052235335,0.0,0.0,0.0,0.0,-0.05063746039327664
1727705045.5814683,0.07324131695089471,-0.20144930140457634,0.0,0.0,0.0,-0.6913612164630673,0.7225092860100193,0.3470992980667134,0.0,0.0,0.0,0.0,-0.03475263687758201
1727705045.6298935,0.07402941415407528,-0.21965504208220957,0.0,0.0,0.0,-0.6919208565443713,0.7219733570422828,0.3585992867287838,0.0,0.0,0.0,0.0,-0.03136344276118788
1727705045.894483,0.07488075323446045,-0.24003282644350812,0.0,0.0,0.0,-0.6924046487122506,0.7215093917903391,0.3861835400646715,0.0,0.0,0.0,0.0,-0.02890356152923107
1727705045.9506962,0.07579671296691445,-0.26222368387741735,0.0,0.0,0.0,-0.69231762323643,0.7215928966919372,0.4260531502097642,0.0,0.0,0.0,0.0,-0.010994069196096586
1727705046.19728,0.07676908917174458,-0.28553518238089626,0.0,0.0,0.0,-0.6920549307099936,0.7218448398928858,0.45541523539842305,0.0,0.0,0.0,0.0,0.009691813353551817
1727705046.246647,0.07778931408009271,-0.30941556248247043,0.0,0.0,0.0,-0.691638563448435,0.722243793708873,0.4723393500307245,0.0,0.0,0.0,0.0,0.01881264667786586
1727705046.349041,0.07884956378192719,-0.3335852136651806,0.0,0.0,0.0,-0.6912472397469306,0.7226183318614672,0.4809506084503902,0.0,0.0,0.0,0.0,0.022366534354861328
1727705046.3975816,0.07994893542579758,-0.35804906551425575,0.0,0.0,0.0,-0.6908547722900277,0.722993557097222,0.48681438854717507,0.0,0.0,0.0,0.0,0.021693075704902528
1727705046.637215,0.08110053030517793,-0.3828968020573103,0.0,0.0,0.0,-0.6901877652632527,0.7236303259820702,0.4936295478297065,0.0,0.0,0.0,0.0,0.029302687014654487
1727705046.6728618,0.08230309207946362,-0.40777705358590394,0.0,0.0,0.0,-0.6894659124473591,0.7243181314678867,0.49783713070974567,0.0,0.0,0.0,0.0,0.03838452842819733
1727705046.7237997,0.0835568094642191,-0.43268601381985694,0.0,0.0,0.0,-0.6887445014410044,0.725004146012133,0.4984979644052584,0.0,0.0,0.0,0.0,0.03985169130303971
1727705046.7755294,0.08486133581230063,-0.457627059490282,0.0,0.0,0.0,-0.6880436054718936,0.7256693441018695,0.49915637894245857,0.0,0.0,0.0,0.0,0.039236380817241456
1727705047.0300405,0.08621681465445388,-0.482586645446976,0.0,0.0,0.0,-0.6872770971433232,0.726395341217334,0.4997151202139595,0.0,0.0,0.0,0.0,0.0404410725127326
1727705047.1011465,0.08762691278542344,-0.5075468012404862,0.0,0.0,0.0,-0.6864691150214298,0.7271589606968307,0.499963298273925,0.0,0.0,0.0,0.0,0.043349646447628364
1727705047.3725393,0.08909509433628383,-0.5325036352454834,0.0,0.0,0.0,-0.6855722142130214,0.7280046284873849,0.49999949139146205,0.0,0.0,0.0,0.0,0.046888948980105524
1727705047.4115615,0.09062626397760222,-0.5574566932795268,0.0,0.0,0.0,-0.6846488021791923,0.7288731149346895,0.49999987284434244,0.0,0.0,0.0,0.0,0.05000746685021053
1727705047.51169,0.09222052127990425,-0.582405800194635,0.0,0.0,0.0,-0.6837326398772339,0.7297326066214315,0.4999999682006159,0.0,0.0,0.0,0.0,0.05047750211720796
1727705047.5595963,0.09387780416444441,-0.607350797584027,0.0,0.0,0.0,-0.6827891278592565,0.730615498656575,0.49999995032256345,0.0,0.0,0.0,0.0,0.05096780601585257
1727705047.7697341,0.09560913805452113,-0.6322907572194182,0.0,0.0,0.0,-0.6815200291290011,0.7317994601637838,0.4999999205185583,0.0,0.0,0.0,0.0,0.06055588127464316
1727705047.8107195,0.09743101087569092,-0.6572242660276545,0.0,0.0,0.0,-0.6801879182014055,0.7330377861562379,0.49999990854126086,0.0,0.0,0.0,0.0,0.07108806289708997
1727705047.8632503,0.09934374534101854,-0.6821509689630515,0.0,0.0,0.0,-0.6788448854856551,0.7342817044227427,0.4999999084911635,0.0,0.0,0.0,0.0,0.07298751908182677
1727705047.9101362,0.10124612764806466,-0.7058259148769985,0.0,0.0,0.0,-0.6775344237649278,0.7354910635850903,0.48751263125819577,0.0,0.0,0.0,0.0,0.07227618440434878
1727705048.1726496,0.10316417812998697,-0.7286963398432043,0.0,0.0,0.0,-0.6763449849288106,0.736584999413949,0.46701991169820073,0.0,0.0,0.0,0.0,0.06798435624910759
1727705048.2278352,0.10523002990230788,-0.7523223196338282,0.0,0.0,0.0,-0.674857315015089,0.73794823962838,0.4666686617670047,0.0,0.0,0.0,0.0,0.07267637827075393
1727705048.4651875,0.10731694493862531,-0.7751552761751931,0.0,0.0,0.0,-0.6735248537066184,0.7391645766941746,0.4664428447981336,0.0,0.0,0.0,0.0,0.07643919632313938
1727705048.5181386,0.10967817838132554,-0.799962569195336,0.0,0.0,0.0,-0.672019115909758,0.7405337992636576,0.4784757330063939,0.0,0.0,0.0,0.0,0.07678674598121105
1727705048.6001248,0.11214396507554829,-0.824815624381261,0.0,0.0,0.0,-0.6705823704565067,0.7418350789986494,0.4989452367406516,0.0,0.0,0.0,0.0,0.07947279034208635
1727705048.6529987,0.1147025122749569,-0.8496821336560973,0.0,0.0,0.0,-0.6693404448350101,0.7429558324073314,0.49972892257239276,0.0,0.0,0.0,0.0,0.07222613778740991
1727705048.8724296,0.11733911470270686,-0.8745423244752631,0.0,0.0,0.0,-0.6682442402048714,0.743941957032277,0.49997424204489355,0.0,0.0,0.0,0.0,0.06294695004290127
1727705048.9141386,0.12004693642052167,-0.8993948010756891,0.0,0.0,0.0,-0.6671843529281275,0.7448926360274183,0.4999919036737758,0.0,0.0,0.0,0.0,0.05796532223193287
1727705048.9703379,0.12282642105570722,-0.9242396498918669,0.0,0.0,0.0,-0.6660903348776479,0.7458710785267001,0.49999416265911395,0.0,0.0,0.0,0.0,0.05783017801863226
1727705049.0227807,0.125679210727874,-0.9490763065002259,0.0,0.0,0.0,-0.6649926097838254,0.7468499373588359,0.49999817404190405,0.0,0.0,0.0,0.0,0.05876996758834465
1727705049.2747018,0.1285777434264456,-0.9738748677665611,0.0,0.0,0.0,-0.6649092169048887,0.7469241817446586,0.4996734929247276,0.0,0.0,0.0,0.0,0.03164848543471531
1727705049.3484912,0.13145924688760532,-0.9987082455924422,0.0,0.0,0.0,-0.665297916540885,0.7465779813565075,0.4996737730037948,0.0,0.0,0.0,0.0,-0.008177341510235182
1727705049.5810604,0.13430262854952188,-1.0235082939154734,0.0,0.0,0.0,-0.6659960415058213,0.74595527526694,0.49962515730792634,0.0,0.0,0.0,0.0,-0.02912021875109686
1727705049.6300323,0.13709266725619046,-1.0482896698260376,0.0,0.0,0.0,-0.6667608711385654,0.7452717227418074,0.4990046581696239,0.0,0.0,0.0,0.0,-0.03922524165048509
1727705049.7461672,0.1398331074371723,-1.0731001762659884,0.0,0.0,0.0,-0.6675909412542587,0.7445282635033093,0.49899345780568105,0.0,0.0,0.0,0.0,-0.042802194005412755
1727705049.791502,0.14251358047751198,-1.0979068211380976,0.0,0.0,0.0,-0.6685100268252777,0.7437031289661665,0.4991245007118749,0.0,0.0,0.0,0.0,-0.04698950771637777
1727705050.012986,0.14509908727455242,-1.1224884896654865,0.0,0.0,0.0,-0.6697671064055118,0.7425712243126499,0.49668328990883526,0.0,0.0,0.0,0.0,-0.05853444549520111
1727705050.0649607,0.14758138176780203,-1.1469398718686548,0.0,0.0,0.0,-0.6711272068491108,0.7413422099320333,0.49294352944326486,0.0,0.0,0.0,0.0,-0.07049420635767248
1727705050.3285792,0.14997541711688173,-1.1714426132530757,0.0,0.0,0.0,-0.6725884118208658,0.7400167756776095,0.49196507942988027,0.0,0.0,0.0,0.0,-0.07611830150583465
1727705050.3794725,0.15226973374610533,-1.1959392801582547,0.0,0.0,0.0,-0.6740732859681143,0.7386644739962446,0.4922332396873519,0.0,0.0,0.0,0.0,-0.0796232952133402
1727705050.427037,0.15446744312932653,-1.2204870430915773,0.0,0.0,0.0,-0.6756278708597862,0.7372428230355804,0.4924985293307649,0.0,0.0,0.0,0.0,-0.08229981386072564
1727705050.4859352,0.15655751637691917,-1.244998171466905,0.0,0.0,0.0,-0.6771612464664234,0.7358346596104588,0.49246058517611885,0.0,0.0,0.0,0.0,-0.08376962491166604
